Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
SQSTM1,1.348,0,0.931,0,0.56975,11.768,11.954,11.212,12.639,11.89325,3.46E-07,11.324,6.589,
UBB,6.136,4.017,6.1,3.618,4.96775,15.37,15.901,15.254,16.143,15.667,4.86E-06,10.699,5.298,
USP5,4.419,2.689,0,2.121,2.30725,13.171,13.133,12.337,13.16,12.95025,2.73E-05,10.643,4.563,
AP3B2,0.815,0.38,0,1.216,0.60275,11.197,11.441,10.801,10.65,11.02225,8.97E-08,10.419,7.255,
GOLGA2,0.584,0.404,0.545,0,0.38325,10.09,10.119,10.57,10.303,10.2705,1.65E-10,9.887,8.712,
SNRNP70,3.949,3.462,0,3.381,2.698,12.606,13.045,12.408,12.105,12.541,4.16E-05,9.843,4.38,
UBR4,0,0,0.115,0,0.02875,10.015,9.946,8.771,9.88,9.653,9.22E-08,9.624,7.244,
WDR26,1.453,0.685,0.624,0.22,0.7455,10.53,10.228,9.522,10.798,10.2695,3.41E-07,9.524,6.598,
YWHAH,0,0,0,0.289,0.07225,8.291,8.494,10.572,10.459,9.454,5.02E-06,9.382,5.284,
PSMD2,1.162,0.357,0.19,0.083,0.448,10.109,10.027,8.659,9.601,9.599,6.05E-07,9.151,6.26,
CCDC174,0.175,0,0.263,0,0.1095,8.97,9.012,8.831,9.394,9.05175,1.04E-11,8.942,9.059,
PSD3,0.323,0.47,0.813,0.978,0.646,9.49,9.956,8.699,9.895,9.51,2.45E-07,8.864,6.783,
PSMD11,1.108,0.006,0.297,0.332,0.43575,9.687,9.483,8.473,9.278,9.23025,3.74E-07,8.795,6.543,
SPATS2L,0.847,0,0,0.296,0.28575,9.256,9.745,8.675,8.621,9.07425,2.78E-07,8.789,6.715,
PSMC6,1.416,0,0.266,1.142,0.706,9.57,9.461,8.605,9.177,9.20325,7.63E-07,8.498,6.131,
PSMC2,0.777,0.089,0.746,0,0.403,9.136,9.085,8.385,8.777,8.84575,1.17E-07,8.443,7.144,
UCHL1,0,2.874,0,0.367,0.81025,9.312,10.362,9.601,7.596,9.21775,8.88E-05,8.408,4.051,
DNM1,2.916,0.616,1.619,0.095,1.3115,9.694,9.9,9.238,9.896,9.682,1.22E-05,8.371,4.908,
TPM3,0,0,0.34,0.016,0.089,8.696,9.12,7.228,8.52,8.391,1.01E-06,8.302,5.988,
NAPB,1.197,0.147,0.481,0,0.45625,8.844,9.255,8.59,7.768,8.61425,1.04E-06,8.158,5.971,
SPTAN1,1.488,0,2.837,5.823,2.537,10.822,11.167,10.578,10.198,10.69125,6.35E-04,8.154,3.198,
