Symbol,Interface,CTmean,ADmean,AD.CT.FC,pval
RPL11,0.4,0.300247206,5.787000571,5.486753366,5.327478262
RPL13,0.51,2.355415174,5.053561027,2.698145853,1.190675532
RPL15,0.67,0.508107717,3.053103851,2.544996133,1.565016673
RPL17,0.57,0.64172019,6.862322307,6.220602117,5.792653077
RPL18,0.61,0.206640388,2.022622182,1.815981793,1.035806735
RPL19,0.56,0.033463907,6.626070462,6.592606555,2.985499093
RPL21,0.56,0.575183478,3.362661353,2.787477875,2.226587318
RPL22,0.27,1.745770569,0,-1.745770569,0.649166906
RPL23,0.34,0.652995365,4.83336569,4.180370324,5.854302932
RPL23A,0.51,1.480719138,2.664266605,1.183547468,0.446940448
RPL24,0.19,0.21087303,3.953078749,3.742205719,1.350504457
RPL26,0.56,0.415338025,3.415622355,3.00028433,1.29139628
RPL27,0.31,0.458202171,2.076468563,1.618266392,0.945040291
RPL27A,0.62,0.827456381,5.237347516,4.409891135,3.777346573
RPL28,0.45,0.366998218,4.73270983,4.365711613,3.494885754
RPL29,0.82,0.188819093,2.873658988,2.684839895,1.952755341
RPL3,0.47,1.609360385,6.586264352,4.976903967,1.728584855
RPL31,0.45,0.650323743,3.162502203,2.51217846,1.474605968
RPL32,0.65,1.196811107,5.985188579,4.788377472,3.203170504
RPL35,0.54,1.248124533,6.934055428,5.685930895,3.071458842
RPL37A,0.44,0.202552714,1.552399373,1.349846659,0.825721458
RPL4,0.54,0.639480237,2.342700947,1.703220711,0.942593926
RPL6,0.51,1.76097328,4.222165606,2.461192326,0.739040406
RPL7,0.56,2.49445509,3.943966885,1.449511795,0.397742162
RPL8,0.63,0.766593564,4.488731457,3.722137892,1.175919498
RPS11,0.48,0.977132612,6.320946121,5.343813509,4.624870849
RPS14,0.33,0.978197653,6.000708851,5.022511198,3.473948597
RPS16,0.42,0.117310373,5.947446777,5.830136404,6.821651559
RPS17,0.3,1.345821893,6.608167667,5.262345774,2.602204508
RPS18,0.37,2.068458847,6.315779585,4.247320737,2.716938081
RPS19,0.5,1.112835698,1.653505314,0.540669616,0.278564136
RPS2,0.25,1.6492473,0,-1.6492473,2.895060463
RPS20,0.43,0.2635888,2.307269648,2.043680848,3.561492292
RPS23,0.62,0.801297263,4.576962773,3.77566551,4.002049661
RPS25,0.17,2.052838378,4.715701513,2.662863135,1.916976574
RPS27,0.31,0.068577929,5.203243274,5.134665345,6.804633214
RPS3A,0.24,2.504844553,5.25311653,2.748271978,1.129521453
RPS6,0.51,0.592701638,8.329432353,7.736730715,5.15850138
RPS7,0.19,5.268761403,1.33876761,-3.929993793,1.348794944
RPS8,0.43,0.827528581,6.376902252,5.549373671,2.449889687
RPS9,0.41,0.223906006,7.757189018,7.533283012,4.927163163
