Uniprot.ID,Symbol,Hu.Symbol,NVmean,NDmean,TVmean,TDmean,TVNVdir,NVND.adj,NVTV.adj,NVTD.adj,Tdrescue,J.Symbol,J.Uniprot,Fvalue,ANOVA,AS.pval.adj,AD.pval.adj,AS.sig,AD.sig,CT.log,AS.log,AD.log,AS.dir,AD.dir,AS.match,AD.match,AS.sigmat,AD.sigmat
A0A0A0MQA5,Tuba4a,TUBA4A,1.19,1.34325,1.98425,1.40375,up,0.492286617,0.042080533,0.269931828,resc,TUBA4A,P68366,4.113278774,0.02303287,0.748252775,0.025666304,ns,sig,0,-0.046677874,-0.16450952,down,down,unm,unm,no,no
A0A0A0MQM0,Eif5a,EIF5A,0.9475,0.9205,0.87375,0.90525,down,0.399076015,0.035361037,0.208499966,resc,EIF5A,P63241,2.765627397,0.073894756,0.989520403,0.118902331,ns,ns,0,-0.013106842,-0.151600417,down,down,match,match,no,no
A0A0G2JFX7,Rbm8a,RBM8A,0.98375,0.95375,0.861,0.92125,down,0.741055653,0.042948284,0.292362148,resc,RBM8A,Q9Y5S9,0.069522436,0.932941466,0.94563605,0.999816265,ns,ns,0,0.009097954,0.043354604,up,up,unm,unm,no,no
A0A0R4J1N9,Tfam,TFAM,1.02025,0.89625,0.80175,0.90975,down,0.228166298,0.038701539,0.193611676,resc,TFAM,Q00059,0.244088297,0.784472188,0.885801817,0.985111777,ns,ns,0,-0.156100133,0.01438623,down,up,match,unm,no,no
A0A1C7CYU3,Nucb1,NUCB1,1.04075,0.90475,0.796,0.8745,down,0.225882185,0.002705703,0.054414026,resc,NUCB1,Q02818,5.58766976,0.006879685,0.040299613,0.006460934,sig,sig,0,-0.405453904,-0.382763703,down,down,match,match,yes,yes
A0A1L1SQI7,Lysmd2,LYSMD2,1.038,0.959,0.91775,0.97075,down,0.208854752,0.020522954,0.207273993,resc,LYSMD2,Q8IV50,0.62812067,0.538531022,0.509991942,0.863715576,ns,ns,0,-0.199816888,-0.069008734,down,down,match,match,no,no
A0A1L1SV25,Actn4,ACTN4,1.03725,1.0715,1.246,1.0555,up,0.900741829,0.049092747,0.851076747,resc,ACTN4,K7EJH8,3.719753942,0.032168379,0.984625054,0.059529465,ns,ns,0,0.002089006,-0.367050003,up,down,match,unm,no,no
A0A1W2P6F6,Myl6,MYL6,0.971,0.8995,0.789,0.90625,down,0.157059458,0.01051296,0.35641471,resc,MYL6,F8W1R7,3.736216661,0.031718708,0.05086326,0.951769206,ns,ns,0,-0.203387506,-0.017919171,down,down,match,match,no,no
A0A1W2P701,Snx6,SNX6,1.01825,1.0755,1.282,1.0935,up,0.760322075,0.045295179,0.468741055,resc,SNX6,Q9UNH7,0.090126889,0.91398348,0.915951889,0.937321817,ns,ns,0,0.029605179,0.036531885,up,up,match,match,no,no
A0A1Y7VJ48,Tbca,TBCA,0.99775,0.92625,0.844,0.9535,down,0.235494289,0.033817853,0.52175198,resc,TBCA,E5RIW3,0.199187165,0.82013128,0.867013856,0.999720915,ns,ns,0,0.033832457,0.002772329,up,up,unm,unm,no,no
