P.Uniprot,P.Symbol,Description,Count,CTL1,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,CTL9,CTL10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,AD.pval,PD.pval,CT.mean,AD.mean,PD.mean
Q5VT66-2,MARC1,Isoform 2 of Mitochondrial amidoxime-reducing component 1 OS=Homo sapiens MARC1,10,0.650485437,0.817961165,1.105968331,1.164433618,0.833333333,1.069767442,1.061326658,1.000536385,0.993485342,0.931596091,0.601941748,0.701456311,1.081607795,0.942752741,1.019379845,0.92248062,0.88521366,1.123547291,1.195439739,0.947882736,0.997572816,0.922330097,0.947624848,0.952496955,1.027131783,0.957364341,0.773109244,1.109243697,1.136807818,1.201954397,0.788425034,0.53685801,0.96288938,0.942170249,1.0025636
Q969Z3,MARC2,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens MARC2 PE=1 SV=1,10,1.250108984,1.112669916,0.966227819,1.032627361,1.051053331,0.917062061,1.139067414,0.907903733,0.801978566,0.77856554,1.100146633,1.084690683,0.873115818,0.859377981,0.9003606,1.038906813,0.897853138,0.923355668,0.729760923,0.45704864,0.99568026,1.259382555,0.96393818,0.904407556,0.978174227,1.1281078,0.965951046,1.0559278,0.997856554,1.099752679,0.168733587,0.505538247,0.995726473,0.88646169,1.034917866
Q9NX47,MARCH5,E3 ubiquitin-protein ligase MARCH5 OS=Homo sapiens MARCH5 PE=1 SV=1,8,1.469206349,0.977777778,,,1.166827387,1.041465767,1.210404327,0.976049446,0.957871397,0.842572062,1.346666667,1.137777778,,,1.326904532,0.958534233,1.226886428,0.986865825,0.831485588,0.359201774,0.916190476,1.013333333,,,0.93924783,1.045323047,0.977079578,0.944115375,0.849223947,1.239467849,0.669047715,0.28551035,1.080271814,1.021790353,0.990497679
Q15019-2,SEPT2,Isoform 2 of Septin-2 OS=Homo sapiens SEPT2,10,0.833966441,1.084677115,0.88172043,0.931676499,0.945137694,0.910606713,0.913372302,0.848029846,0.877190213,0.875295975,1.193756132,1.171341601,0.895108991,1.009497511,1.416092943,1.231927711,1.00318586,1.16480594,1.224782952,1.289187056,0.869311464,0.881084753,0.83578093,0.924982218,0.966222031,0.95869191,0.903399174,0.835212529,0.930228887,0.836306235,0.00018223,0.565627918,0.910167323,1.15996867,0.894122013
C9IY94,SEPT2,Septin-2 (Fragment) OS=Homo sapiens SEPT2 PE=1 SV=1,8,0.848541863,0.910630292,0.86631016,1.056684492,0.573459716,1.056872038,0.83024055,1.164261168,,,0.925682032,0.995296331,0.857754011,1.037433155,0.838862559,0.91943128,0.937457045,1.371821306,,,1.219190969,0.863593603,0.849197861,0.898395722,0.805687204,0.777251185,0.80137457,0.753264605,,,0.426068678,0.618234064,0.913375035,0.985467215,0.870994465
Q9UH03,SEPT3,Neuronal-specific septin-3 OS=Homo sapiens SEPT3 PE=1 SV=3,10,1.159374642,0.820371855,0.960529502,1.003390104,0.971855088,1.09200801,0.945207859,0.995570071,1.229092382,0.943030794,0.927251556,1.084984538,1.085640488,1.070304302,0.771163299,0.839541234,0.965481299,0.827250143,0.776823339,0.950972447,1.151968083,0.943229107,1.038582614,0.968843329,1.096085928,1.003167668,1.053767177,1.125479909,1.067179903,0.95356564,0.146086546,0.52897744,1.012043031,0.929941264,1.040186936
Q9UH03-2,SEPT3,Isoform 2 of Neuronal-specific septin-3 OS=Homo sapiens SEPT3,10,1.159268434,0.821066219,0.959190105,1.004096746,0.970840974,1.090784885,0.948006159,0.995077456,1.229092382,0.943030794,0.927384376,1.084896975,1.081068305,1.065705507,0.772588358,0.843059001,0.967814138,0.830235356,0.776823339,0.950972447,1.152719645,0.943158414,1.036240447,0.968486567,1.093876964,1.001402222,1.057480163,1.127270891,1.067179903,0.95356564,0.143085596,0.529638394,1.012045415,0.93005478,1.040138086
O43236-4,SEPT4,Isoform 4 of Septin-4 OS=Homo sapiens SEPT4,10,0.896481704,1.148833451,1.16940101,0.964060621,0.926021664,0.830502216,1.214388714,0.85480728,0.949062083,1.246997881,1.123057478,0.958082964,0.796824633,0.787490979,1.542466765,1.303914328,0.92045676,1.443976772,1.335687937,0.836825995,0.743669968,0.968525962,1.01515516,1.034496031,0.772402757,0.861398326,0.874254647,0.92141159,0.921434738,1.066321325,0.41897408,0.107859415,1.020055662,1.104878461,0.917907051
O43236,SEPT4,Septin-4 OS=Homo sapiens SEPT4 PE=1 SV=1,10,0.896481704,1.148833451,1.164250286,0.960320488,0.927020729,0.83993622,1.214388714,0.85480728,0.947871757,1.247942306,1.123057478,0.958082964,0.795879435,0.782334987,1.5470379,1.309333987,0.92045676,1.443976772,1.336677902,0.835776436,0.743669968,0.968525962,1.009538344,1.030999618,0.774561511,0.867778732,0.874254647,0.92141159,0.920279062,1.067178804,0.419284429,0.103638809,1.020185293,1.105261462,0.917819824
G3XAH0,SEPT5,"HCG2002594, isoform CRA_c OS=Homo sapiens SEPT5 PE=1 SV=1",10,1.32327862,0.91460989,1.125400578,1.122668768,1.075006037,1.123400145,1.035380791,1.052459396,1.195776689,1.019115313,0.801874881,0.996073819,1.15986341,1.173732598,0.719343154,0.746099976,0.916551822,0.782473178,0.614450348,0.723069491,1.240050504,1.034851341,1.159968479,0.985447859,1.214199469,1.075102632,1.13370513,1.186254685,1.111586502,1.053895521,0.003435566,0.638008204,1.098709623,0.863353268,1.119506212
B4DJ62,SEPT5,"HCG2002594, isoform CRA_a OS=Homo sapiens SEPT5 PE=1 SV=1",10,1.332818319,0.891450757,1.342629482,1.035856574,1.09012191,1.114162014,1.033508341,1.063441218,1.208090352,1.016461209,0.791537913,1.00091118,0.892430279,1.179282869,0.688845847,0.713341689,0.913218582,0.780753639,0.59407987,0.714106444,1.243007686,1.044132795,1.354581673,1.517928287,1.207360146,1.078728495,1.133435236,1.180806805,1.112718683,1.066213922,0.000777182,0.228076809,1.112854017,0.826850831,1.193891373
Q14141,SEPT6,Septin-6 OS=Homo sapiens SEPT6 PE=1 SV=4,10,1.135957867,0.857564187,0.995675156,1.003043409,0.998051442,1.120031177,0.974574534,1.075374205,1.263704184,0.930262731,0.899117841,1.012139566,1.036360724,0.981579369,0.63055339,0.812548714,0.889563256,0.77883945,0.769056114,0.920531949,1.112205398,1.045266623,1.067115169,0.898926798,1.268901013,1.140296181,1.115644864,1.129259791,1.070061628,1.093091145,0.007764546,0.227017516,1.035423889,0.873029037,1.094076861
G3V1Q4,SEPT7,"Septin 7, isoform CRA_a OS=Homo sapiens SEPT7 PE=1 SV=1",9,1.082350999,0.994936988,1.03311281,1.023652007,1.068876093,1.001142807,1.070592195,1.052619617,0.55890411,1.008219178,0.94297507,1.019173408,0.999554382,1.067870977,1.042415718,0.958023823,0.960641278,0.996761265,,12.40547945,1.045203896,0.987166364,1.043841909,0.987659822,1.020218891,0.989934508,1.02909617,1.008396236,0.493150685,0.531506849,0.302207006,0.373768045,0.98944068,2.265877264,0.913617533
Q16181-2,SEPT7,Isoform 2 of Septin-7 OS=Homo sapiens SEPT7,10,1.092747545,0.991036292,1.027763195,1.037332573,1.064648389,1.005963721,1.070070929,1.040963157,1.054778365,1.002887353,0.941040267,1.02212108,1.009524381,1.08415953,1.031268119,0.954112482,0.9550263,0.991364016,0.942130948,1.0050427,1.054140001,0.992516993,1.050891692,0.978356407,1.025304398,0.993042326,1.033247561,1.013985987,0.984627898,1.001138674,0.021137973,0.067909249,1.038819152,0.993578982,1.012725194
Q16181,SEPT7,Septin-7 OS=Homo sapiens SEPT7 PE=1 SV=2,10,1.340820734,0.885183585,1.065675341,1.318463445,1.201856148,1.154292343,1.226403455,0.899444787,1.351288056,1.449648712,0.830410367,0.922850972,1.126394052,1.244114002,0.69837587,0.827146172,0.870141888,0.791178285,0.548009368,1.037470726,1.194989201,1.025485961,1.11771995,1.017348203,1.164733179,1.076566125,1.174275139,1.148056755,1.243559719,1.18735363,0.003267083,0.413392964,1.189307661,0.88960917,1.135008786
